Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Sport Perú,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1930.0,94.0,Sport Perú-Aplao-Arequipa
Sport San Martín,Mollendo,Estadio Municipal de Mollendo,Copa Perú,Arequipa,1969.0,55.0,Sport San Martín-Mollendo-Arequipa
Sport Victoria del Huayco,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1904.0,120.0,Sport Victoria del Huayco-Uchumayo-Arequipa
Sporting Cristal Churacapi,Cocachacra,Estadio Benigno Pérez Málaga,Copa Perú,Arequipa,1957.0,67.0,Sporting Cristal Churacapi-Cocachacra-Arequipa
Sportivo Cosos,Aplao,Estadio Luis Perochena Tassara,Copa Perú,Arequipa,1926.0,98.0,Sportivo Cosos-Aplao-Arequipa
Sportivo Huracán,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1927.0,97.0,Sportivo Huracán-Arequipa-Arequipa
Temperley,José Luis Bustamante y Rivero,Estadio Melgar,Copa Perú,Arequipa,1978.0,46.0,Temperley-José Luis Bustamante y Rivero-Arequipa
Unión Beaterio,Yanahuara,Estadio Umacollo,Copa Perú,Arequipa,1949.0,75.0,Unión Beaterio-Yanahuara-Arequipa
Unión Bellavista,Sachaca,Estadio Municipal Sachaca,Copa Perú,Arequipa,1969.0,55.0,Unión Bellavista-Sachaca-Arequipa
Unión Huarangal,Camaná,Estadio 9 de noviembre,Copa Perú,Arequipa,1976.0,48.0,Unión Huarangal-Camaná-Arequipa
Unión Libertad,Cerro Colorado,Estadio Arturo Díaz Huerta,Copa Perú,Arequipa,1945.0,79.0,Unión Libertad-Cerro Colorado-Arequipa
Unión Minas,Orcopampa,Estadio Municipal de Orcopampa,Copa Perú,Arequipa,1980.0,44.0,Unión Minas-Orcopampa-Arequipa
Unión Salaverry,Uchumayo,Estadio Segundo Calderón Chávez,Copa Perú,Arequipa,1939.0,85.0,Unión Salaverry-Uchumayo-Arequipa
White Star,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1918.0,106.0,White Star-Arequipa-Arequipa
Yanahuara,Arequipa,Estadio Melgar,Copa Perú,Arequipa,1932.0,92.0,Yanahuara-Arequipa-Arequipa
Alianza Huamanga,Ayacucho,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1955.0,69.0,Alianza Huamanga-Ayacucho-Ayacucho
Atlético Grau,Puquio,Estadio Jorge Castro Aguayo,Copa Perú,Ayacucho,1931.0,93.0,Atlético Grau-Puquio-Ayacucho
Ayacucho FC,Ayacucho,Estadio Ciudad de Cumaná,Segunda División,Ayacucho,2009.0,15.0,Ayacucho FC-Ayacucho-Ayacucho
Cultural Huracán,Huanta,Estadio Municipal,Copa Perú,Ayacucho,1945.0,79.0,Cultural Huracán-Huanta-Ayacucho
Defensor Tambo,Tambo,Estadio Municipal de Tambo,Copa Perú,Ayacucho,1944.0,80.0,Defensor Tambo-Tambo-Ayacucho
Deportivo Cultural Ho Chi Minh,Carmen Alto,Estadio Hugo Sotil Yerén,Copa Perú,Ayacucho,1975.0,49.0,Deportivo Cultural Ho Chi Minh-Carmen Alto-Ayacucho
Deportivo Huáscar,Huamanga,Estadio Ciudad de Cumaná,Copa Perú,Ayacucho,1961.0,63.0,Deportivo Huáscar-Huamanga-Ayacucho
Deportivo Las Américas,San Juan el Bautista,Estadio Leoncio Prado,Copa Perú,Ayacucho,1982.0,42.0,Deportivo Las Américas-San Juan el Bautista-Ayacucho
