Equipo,Ciudad,Estadio,Liga,region,Año_fundacion,Años_cantidad,combined
Deportivo Municipal Túcume,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,1970.0,54.0,Deportivo Municipal Túcume-Túcume-Lambayeque
Deportivo Pomalca,Pomalca,Estadio La Bombonera,Copa Perú,Lambayeque,1949.0,75.0,Deportivo Pomalca-Pomalca-Lambayeque
Diablos Rojos,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1941.0,83.0,Diablos Rojos-Ferreñafe-Lambayeque
Diego Ferré,Reque,Estadio Municipal de Reque,Copa Perú,Lambayeque,1954.0,70.0,Diego Ferré-Reque-Lambayeque
Dínamo FC,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1950.0,74.0,Dínamo FC-Chiclayo-Lambayeque
Estudiantil Diego Ferré,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1976.0,48.0,Estudiantil Diego Ferré-Chiclayo-Lambayeque
Flamengo FC,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1965.0,59.0,Flamengo FC-Chiclayo-Lambayeque
Intocables FC,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1972.0,52.0,Intocables FC-Ferreñafe-Lambayeque
José Pardo,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1920.0,104.0,José Pardo-Tumán-Lambayeque
Juan Aurich,Chiclayo,Estadio César Flores Marigorda,Segunda División,Lambayeque,1923.0,101.0,Juan Aurich-Chiclayo-Lambayeque
Juan Pardo y Miguel,Pátapo,Estadio Municipal de Pátapo,Copa Perú,Lambayeque,1961.0,63.0,Juan Pardo y Miguel-Pátapo-Lambayeque
Los Caimanes,Puerto Eten,Estadio César Flores Marigorda,Copa Perú,Lambayeque,1957.0,67.0,Los Caimanes-Puerto Eten-Lambayeque
Mariscal Sucre,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1963.0,61.0,Mariscal Sucre-Ferreñafe-Lambayeque
Olmos Club,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1948.0,76.0,Olmos Club-Olmos-Lambayeque
Palmeiras FBC,Ferreñafe,Estadio Samame Cáceres,Copa Perú,Lambayeque,1978.0,46.0,Palmeiras FBC-Ferreñafe-Lambayeque
Pirata FC,José Leonardo Ortiz,Estadio Elías Aguirre,Segunda División,Lambayeque,2016.0,8.0,Pirata FC-José Leonardo Ortiz-Lambayeque
Proyecto Olmos,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1974.0,50.0,Proyecto Olmos-Olmos-Lambayeque
San Juan,Pátapo,Estadio Municipal de Pátapo,Copa Perú,Lambayeque,1957.0,67.0,San Juan-Pátapo-Lambayeque
San Lorenzo,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1928.0,96.0,San Lorenzo-Chiclayo-Lambayeque
San Lorenzo de Paredones,Chongoyape,Estadio Municipal de la Juventud,Copa Perú,Lambayeque,1945.0,79.0,San Lorenzo de Paredones-Chongoyape-Lambayeque
Simón Bolívar,Pueblo Nuevo,Estadio Luciano Díaz Burga,Copa Perú,Lambayeque,1956.0,68.0,Simón Bolívar-Pueblo Nuevo-Lambayeque
Sport Gloria,Chiclayo,Estadio Elías Aguirre,Copa Perú,Lambayeque,1959.0,65.0,Sport Gloria-Chiclayo-Lambayeque
Sport Soriano,Lambayeque,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1959.0,65.0,Sport Soriano-Lambayeque-Lambayeque
Sport Victoria,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,1953.0,71.0,Sport Victoria-Túcume-Lambayeque
Tres Marías,Túcume,Estadio Federico Villarreal,Copa Perú,Lambayeque,2008.0,16.0,Tres Marías-Túcume-Lambayeque
Unión Juventud,Mochumí,Estadio Municipal de Mochumí,Copa Perú,Lambayeque,1976.0,48.0,Unión Juventud-Mochumí-Lambayeque
Unión Tumán,Tumán,Estadio Eugenio Zapata Mingoya,Copa Perú,Lambayeque,1956.0,68.0,Unión Tumán-Tumán-Lambayeque
Vasco de Gama,Olmos,Estadio Francisco Mendoza Pizarro,Copa Perú,Lambayeque,1955.0,69.0,Vasco de Gama-Olmos-Lambayeque
AD Galaxie 901,Jesús María,Estadio Municipal de Jesús María,Copa Perú,Lima Metropolitana,1972.0,52.0,AD Galaxie 901-Jesús María-Lima Metropolitana
Águilas de América,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0,Águilas de América-Comas-Lima Metropolitana
Alianza Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1914.0,110.0,Alianza Chorrillos-Chorrillos-Lima Metropolitana
Alianza Huacoy,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1944.0,80.0,Alianza Huacoy-Carabayllo-Lima Metropolitana
Alianza Lima,La Victoria,Estadio Alejandro Villanueva,Primera División,Lima Metropolitana,1901.0,123.0,Alianza Lima-La Victoria-Lima Metropolitana
Alianza Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1918.0,106.0,Alianza Vitarte-Ate-Lima Metropolitana
Atlético Agricultor,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,1933.0,91.0,Atlético Agricultor-Santiago de Surco-Lima Metropolitana
Atlético Libertad,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1962.0,62.0,Atlético Libertad-Chosica-Lima Metropolitana
Atlético Perú,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0,Atlético Perú-Comas-Lima Metropolitana
Atlético Salvador,Villa El Salvador,Estadio Iván Elías Moreno,Copa Perú,Lima Metropolitana,1972.0,52.0,Atlético Salvador-Villa El Salvador-Lima Metropolitana
Aurora Miraflores,Miraflores,Complejo Deportivo Manuel Bonilla,Copa Perú,Lima Metropolitana,1958.0,66.0,Aurora Miraflores-Miraflores-Lima Metropolitana
Barcelona Miramar,San Miguel,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1953.0,71.0,Barcelona Miramar-San Miguel-Lima Metropolitana
Boca Junior,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1937.0,87.0,Boca Junior-Chorrillos-Lima Metropolitana
Carlos Moscoso,Surquillo,Estadio Carlos Moscoso,Copa Perú,Lima Metropolitana,1954.0,70.0,Carlos Moscoso-Surquillo-Lima Metropolitana
Ciclista Lima,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1897.0,127.0,Ciclista Lima-Chorrillos-Lima Metropolitana
Circolo Sportivo Italiano,San Isidro,Complejo de San Isidro,Copa Perú,Lima Metropolitana,1918.0,106.0,Circolo Sportivo Italiano-San Isidro-Lima Metropolitana
Ciclón Santa Rosa,Surquillo,Estadio Carlos Moscoso,Copa Perú,Lima Metropolitana,1941.0,83.0,Ciclón Santa Rosa-Surquillo-Lima Metropolitana
Cooperativa Francisco Bolognesi,Barranco,Estadio Unión Barranco,Copa Perú,Lima Metropolitana,2005.0,19.0,Cooperativa Francisco Bolognesi-Barranco-Lima Metropolitana
Cultural 13 de Enero,San Juan de Miraflores,Estadio IPD,Copa Perú,Lima Metropolitana,1963.0,61.0,Cultural 13 de Enero-San Juan de Miraflores-Lima Metropolitana
Cultural Géminis,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1968.0,56.0,Cultural Géminis-Comas-Lima Metropolitana
Cultural Ñaña,Chaclacayo,Estadio Tahuantinsuyo,Copa Perú,Lima Metropolitana,1968.0,56.0,Cultural Ñaña-Chaclacayo-Lima Metropolitana
Cultural Progreso,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1974.0,50.0,Cultural Progreso-El Agustino-Lima Metropolitana
Defensor 17 de Noviembre,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1962.0,62.0,Defensor 17 de Noviembre-Independencia-Lima Metropolitana
Defensor El Milagro,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1969.0,55.0,Defensor El Milagro-Independencia-Lima Metropolitana
Defensor Gonzales Prada,Rímac,Estadio de la UNI,Copa Perú,Lima Metropolitana,1987.0,37.0,Defensor Gonzales Prada-Rímac-Lima Metropolitana
Defensor Guadalupe,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1966.0,58.0,Defensor Guadalupe-El Agustino-Lima Metropolitana
Defensor Lima,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1932.0,92.0,Defensor Lima-Breña-Lima Metropolitana
Deportivo AELU,Pueblo Libre,Estadio La Unión,Copa Perú,Lima Metropolitana,1983.0,41.0,Deportivo AELU-Pueblo Libre-Lima Metropolitana
Deportivo E.T.E.,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1981.0,43.0,Deportivo E.T.E.-Chorrillos-Lima Metropolitana
Deportivo La Cantuta,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1957.0,67.0,Deportivo La Cantuta-Chosica-Lima Metropolitana
Deportivo Municipal,Lima,Estadio Iván Elías Moreno,Segunda División,Lima Metropolitana,1936.0,88.0,Deportivo Municipal-Lima-Lima Metropolitana
Deportivo Municipal de Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1949.0,75.0,Deportivo Municipal de Chorrillos-Chorrillos-Lima Metropolitana
Deportivo Piérola,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1963.0,61.0,Deportivo Piérola-Comas-Lima Metropolitana
Deportivo Racing,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1956.0,68.0,Deportivo Racing-Chosica-Lima Metropolitana
Deportivo San Marcos,Lima,Estadio de la UNMSM,Copa Perú,Lima Metropolitana,2013.0,11.0,Deportivo San Marcos-Lima-Lima Metropolitana
Deportivo Torino,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1954.0,70.0,Deportivo Torino-Breña-Lima Metropolitana
DIM,Miraflores,Complejo Deportivo Manuel Bonilla,Copa Perú,Lima Metropolitana,1984.0,40.0,DIM-Miraflores-Lima Metropolitana
Estrella Roja de Huáscar,Santa Anita,Estadio Municipal Santa Anita,Copa Perú,Lima Metropolitana,1976.0,48.0,Estrella Roja de Huáscar-Santa Anita-Lima Metropolitana
Estrella Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1940.0,84.0,Estrella Vitarte-Ate-Lima Metropolitana
FC Furygangs,Huaycán,Estadio Tadeo Pasini,Copa Perú,Lima Metropolitana,2002.0,22.0,FC Furygangs-Huaycán-Lima Metropolitana
Francisco Bolognesi,Puente Piedra,Estadio Municipal de Puente Piedra,Copa Perú,Lima Metropolitana,1916.0,108.0,Francisco Bolognesi-Puente Piedra-Lima Metropolitana
Fraternal Barranco,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1915.0,109.0,Fraternal Barranco-Barranco-Lima Metropolitana
Fraternal Santa Clara,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1956.0,68.0,Fraternal Santa Clara-Ate-Lima Metropolitana
Guardia Republicana,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1982.0,42.0,Guardia Republicana-La Molina-Lima Metropolitana
Huracán Boys,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0,Huracán Boys-Comas-Lima Metropolitana
Huracán Chorrillos,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1955.0,69.0,Huracán Chorrillos-Chorrillos-Lima Metropolitana
Huracán Magdalena,Magdalena del Mar,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1953.0,71.0,Huracán Magdalena-Magdalena del Mar-Lima Metropolitana
Independiente de Deportes,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1928.0,96.0,Independiente de Deportes-Chosica-Lima Metropolitana
Independiente Nueva Lima,La Victoria,Estadio Ricardo Bentín,Copa Perú,Lima Metropolitana,1958.0,66.0,Independiente Nueva Lima-La Victoria-Lima Metropolitana
Independiente San Antonio,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1964.0,60.0,Independiente San Antonio-Chosica-Lima Metropolitana
Independiente San Felipe,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1976.0,48.0,Independiente San Felipe-Carabayllo-Lima Metropolitana
Ingenio Puente Piedra,Puente Piedra,Estadio Municipal de Puente Piedra,Copa Perú,Lima Metropolitana,1919.0,105.0,Ingenio Puente Piedra-Puente Piedra-Lima Metropolitana
Íntimo Cable Visión,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,2006.0,18.0,Íntimo Cable Visión-Ate-Lima Metropolitana
Juventud América,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1964.0,60.0,Juventud América-Chorrillos-Lima Metropolitana
Juventud Apurímac,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1962.0,62.0,Juventud Apurímac-Chosica-Lima Metropolitana
Juventud Barranco,Barranco,Estadio Unión Barranco,Copa Perú,Lima Metropolitana,1929.0,95.0,Juventud Barranco-Barranco-Lima Metropolitana
Juventud Comas,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1960.0,64.0,Juventud Comas-Comas-Lima Metropolitana
Juventud Gloria,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1923.0,101.0,Juventud Gloria-San Martín de Porres-Lima Metropolitana
Juventud Ideal FC,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1969.0,55.0,Juventud Ideal FC-Comas-Lima Metropolitana
Juventud La Rural,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,1946.0,78.0,Juventud La Rural-Santiago de Surco-Lima Metropolitana
Juventud Lurín,Lurín,Estadio Guadulfo Silva Carbajal,Copa Perú,Lima Metropolitana,1913.0,111.0,Juventud Lurín-Lurín-Lima Metropolitana
Juventud Moyopampa,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1943.0,81.0,Juventud Moyopampa-Chosica-Lima Metropolitana
Juventud Musa,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1975.0,49.0,Juventud Musa-La Molina-Lima Metropolitana
Juventud Primavera,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1961.0,63.0,Juventud Primavera-Comas-Lima Metropolitana
Juventud Zela,San Miguel,Estadio Adelfo Magallanes,Copa Perú,Lima Metropolitana,1970.0,54.0,Juventud Zela-San Miguel-Lima Metropolitana
Lawn Tennis Chosica,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1938.0,86.0,Lawn Tennis Chosica-Chosica-Lima Metropolitana
Lima Cricket,San Isidro,Complejo Villa Deportiva,Copa Perú,Lima Metropolitana,1859.0,165.0,Lima Cricket-San Isidro-Lima Metropolitana
Marinero Robles,Ancón,Estadio José Balta,Copa Perú,Lima Metropolitana,1945.0,79.0,Marinero Robles-Ancón-Lima Metropolitana
Mariscal Sucre,La Victoria,Estadio Ricardo Bentín,Copa Perú,Lima Metropolitana,1926.0,98.0,Mariscal Sucre-La Victoria-Lima Metropolitana
Nicolás de Piérola,Carabayllo,Estadio Ricardo Palma,Copa Perú,Lima Metropolitana,1977.0,47.0,Nicolás de Piérola-Carabayllo-Lima Metropolitana
Once Amigos,Comas,Estadio Daniel Hernani Tovar,Copa Perú,Lima Metropolitana,1955.0,69.0,Once Amigos-Comas-Lima Metropolitana
Once Estrellas,Chosica,Estadio Hernán Solís García,Copa Perú,Lima Metropolitana,1946.0,78.0,Once Estrellas-Chosica-Lima Metropolitana
Pacífico,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1960.0,64.0,Pacífico-San Martín de Porres-Lima Metropolitana
Puerto Chala,Lince,Colegio Melitón Carbajal,Copa Perú,Lima Metropolitana,1957.0,67.0,Puerto Chala-Lince-Lima Metropolitana
Real Atocongo,Pachacámac,Estadio Municipal de Pachacámac,Copa Perú,Lima Metropolitana,1963.0,61.0,Real Atocongo-Pachacámac-Lima Metropolitana
Real Olímpico,San Martín de Porres,Complejo Deportivo Mayta Cápac,Copa Perú,Lima Metropolitana,1960.0,64.0,Real Olímpico-San Martín de Porres-Lima Metropolitana
Real Tahuantinsuyo,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1964.0,60.0,Real Tahuantinsuyo-Independencia-Lima Metropolitana
Real Unión,Villa María del Triunfo,Estadio Héctor Chumpitaz,Copa Perú,Lima Metropolitana,1983.0,41.0,Real Unión-Villa María del Triunfo-Lima Metropolitana
Regatas Lima,San Isidro,Complejo de San Isidro,Copa Perú,Lima Metropolitana,1875.0,149.0,Regatas Lima-San Isidro-Lima Metropolitana
San Agustín,Lince,Colegio Melitón Carbajal,Copa Perú,Lima Metropolitana,1971.0,53.0,San Agustín-Lince-Lima Metropolitana
San Cristóbal,San Bartolo,Estadio Municipal de San Bartolo,Copa Perú,Lima Metropolitana,1955.0,69.0,San Cristóbal-San Bartolo-Lima Metropolitana
San Simón,Magdalena del Mar,Estadio Municipal de Magdalena,Copa Perú,Lima Metropolitana,1983.0,41.0,San Simón-Magdalena del Mar-Lima Metropolitana
Santiago Barranco,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1930.0,94.0,Santiago Barranco-Barranco-Lima Metropolitana
Social FBC,Barranco,Estadio Unión de Barranco,Copa Perú,Lima Metropolitana,1976.0,48.0,Social FBC-Barranco-Lima Metropolitana
Somos Olímpico,Santiago de Surco,Estadio Julio Montjoy Guizado,Copa Perú,Lima Metropolitana,2008.0,16.0,Somos Olímpico-Santiago de Surco-Lima Metropolitana
Sport Agustino,El Agustino,Estadio Marcelino Ccayco Arone,Copa Perú,Lima Metropolitana,1938.0,86.0,Sport Agustino-El Agustino-Lima Metropolitana
Sport Asociación Agrícola,La Molina,Estadio Municipal de La Molina,Copa Perú,Lima Metropolitana,1930.0,94.0,Sport Asociación Agrícola-La Molina-Lima Metropolitana
Sport Bengala,Canto Grande,Estadio José Carlos Mariategui,Copa Perú,Lima Metropolitana,1981.0,43.0,Sport Bengala-Canto Grande-Lima Metropolitana
Sport Cobresol,San Borja,Polideportivo Limatambo,Copa Perú,Lima Metropolitana,2013.0,11.0,Sport Cobresol-San Borja-Lima Metropolitana
Sport Estrella,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1906.0,118.0,Sport Estrella-Ate-Lima Metropolitana
Sport Unión Santa Rosa,Lurín,Estadio Julio César Tello,Copa Perú,Lima Metropolitana,1983.0,41.0,Sport Unión Santa Rosa-Lurín-Lima Metropolitana
Sport Vitarte,Ate,Estadio Andrés Bedoya Díaz,Copa Perú,Lima Metropolitana,1904.0,120.0,Sport Vitarte-Ate-Lima Metropolitana
Sporting Cristal,Rímac,Estadio Alberto Gallardo,Primera División,Lima Metropolitana,1956.0,68.0,Sporting Cristal-Rímac-Lima Metropolitana
Sporting Ermitaño,Independencia,Estadio El Ermitaño,Copa Perú,Lima Metropolitana,1963.0,61.0,Sporting Ermitaño-Independencia-Lima Metropolitana
Sporting Estudiantil,Breña,GUE Mariano Melgar,Copa Perú,Lima Metropolitana,1950.0,74.0,Sporting Estudiantil-Breña-Lima Metropolitana
U de América,San Luis,Estadio Municipal de San Luis,Copa Perú,Lima Metropolitana,1980.0,44.0,U de América-San Luis-Lima Metropolitana
Unión Buenos Aires,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1924.0,100.0,Unión Buenos Aires-Chorrillos-Lima Metropolitana
Unión Buenos Aires de Villa,Chorrillos,Estadio Municipal de Chorrillos,Copa Perú,Lima Metropolitana,1960.0,64.0,Unión Buenos Aires de Villa-Chorrillos-Lima Metropolitana
Universidad San Martín,Santa Anita,Estadio Alberto Gallardo,Segunda División,Lima Metropolitana,2004.0,20.0,Universidad San Martín-Santa Anita-Lima Metropolitana
Universitario,Breña,Estadio Monumental,Primera División,Lima Metropolitana,1925.0,99.0,Universitario-Breña-Lima Metropolitana
Virgen de Chapi FC,Santa Anita,Estadio Municipal de Santa Anita,Copa Perú,Lima Metropolitana,1993.0,31.0,Virgen de Chapi FC-Santa Anita-Lima Metropolitana
White Star,Jesús María,Estadio Municipal Campo de Marte,Copa Perú,Lima Metropolitana,1927.0,97.0,White Star-Jesús María-Lima Metropolitana
Aipsa FC,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,2003.0,21.0,Aipsa FC-Paramonga-Lima Región
Alfonso Ugarte de Cerro La Culebra,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1942.0,82.0,Alfonso Ugarte de Cerro La Culebra-Chancay-Lima Región
Alfonso Ugarte,Chilca,Municipal de Chilca,Copa Perú,Lima Región,1938.0,86.0,Alfonso Ugarte-Chilca-Lima Región
Alianza Antenor Rizo Patrón,Cañete,Roberto Yáñez,Copa Perú,Lima Región,1948.0,76.0,Alianza Antenor Rizo Patrón-Cañete-Lima Región
Alianza Aurora,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1936.0,88.0,Alianza Aurora-Barranca-Lima Región
Alianza Francisco Bolognesi,Chilca,Municipal de Chilca,Copa Perú,Lima Región,1924.0,100.0,Alianza Francisco Bolognesi-Chilca-Lima Región
Alianza Humaya,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1931.0,93.0,Alianza Humaya-Huaura-Lima Región
Alianza Las Salinas,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1949.0,75.0,Alianza Las Salinas-Chancay-Lima Región
Alianza Mala,Mala,Municipal de Mala,Copa Perú,Lima Región,1914.0,110.0,Alianza Mala-Mala-Lima Región
Alianza Quepepampa,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1927.0,97.0,Alianza Quepepampa-Chancay-Lima Región
Alianza San Mateo,San Mateo,Municipal de San Mateo,Copa Perú,Lima Región,1930.0,94.0,Alianza San Mateo-San Mateo-Lima Región
Association F.B.C.,Huarochirí,Santa Cruz,Copa Perú,Lima Región,1921.0,103.0,Association F.B.C.-Huarochirí-Lima Región
Atlético Chalaco,Cañete,Roberto Yáñez,Copa Perú,Lima Región,1948.0,76.0,Atlético Chalaco-Cañete-Lima Región
Atlético Condoray,Lunahuaná,Municipal de Lunahuaná,Copa Perú,Lima Región,1936.0,88.0,Atlético Condoray-Lunahuaná-Lima Región
Atlético Huacho,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1916.0,108.0,Atlético Huacho-Huacho-Lima Región
Atlético Minero,Chicla,Municipal de Matucana,Copa Perú,Lima Región,1998.0,26.0,Atlético Minero-Chicla-Lima Región
Atlético Racing,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1930.0,94.0,Atlético Racing-Hualmay-Lima Región
Atlético Soledad,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1963.0,61.0,Atlético Soledad-Paramonga-Lima Región
Aurora Chancayllo,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1932.0,92.0,Aurora Chancayllo-Chancay-Lima Región
Bella Esperanza,Cerro Azul,Municipal de Cerro Azul,Copa Perú,Lima Región,1915.0,109.0,Bella Esperanza-Cerro Azul-Lima Región
Benfica de Pariamarca,Canta,Municipal de Canta,Copa Perú,Lima Región,1971.0,53.0,Benfica de Pariamarca-Canta-Lima Región
Benjamín Vizquerra,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1962.0,62.0,Benjamín Vizquerra-Chancay-Lima Región
Benjamín Vizquerra,Aucallama,Julio Lores Colán,Copa Perú,Lima Región,1942.0,82.0,Benjamín Vizquerra-Aucallama-Lima Región
CAP Jesús del Valle,Huaral,Julio Lores Colán,Copa Perú,Lima Región,1975.0,49.0,CAP Jesús del Valle-Huaral-Lima Región
Centro Humanitario Sport Victoria,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1924.0,100.0,Centro Humanitario Sport Victoria-Végueta-Lima Región
Centro Social Deportivo Huaura,Huaura,Manuel Fumagalli,Copa Perú,Lima Región,1932.0,92.0,Centro Social Deportivo Huaura-Huaura-Lima Región
Centro Social Huarosino,Huaros,Municipal de Canta,Copa Perú,Lima Región,1940.0,84.0,Centro Social Huarosino-Huaros-Lima Región
Circolo Sportivo Paramonga,Paramonga,Alejandro Gonzales,Copa Perú,Lima Región,1934.0,90.0,Circolo Sportivo Paramonga-Paramonga-Lima Región
Círculo Deportivo Cruz Blanca,Santa María,Marcial Villanueva,Copa Perú,Lima Región,1950.0,74.0,Círculo Deportivo Cruz Blanca-Santa María-Lima Región
Círculo Deportivo Sucre,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1975.0,49.0,Círculo Deportivo Sucre-Imperial-Lima Región
Cristal Supe Puerto,Supe Puerto,Municipal de Supe Puerto,Copa Perú,Lima Región,1956.0,68.0,Cristal Supe Puerto-Supe Puerto-Lima Región
Cultural 17 de Febrero,San Antonio,Eloy Soriano,Copa Perú,Lima Región,1948.0,76.0,Cultural 17 de Febrero-San Antonio-Lima Región
Cultural Palestino,Quilmaná,Municipal de Quilmaná,Copa Perú,Lima Región,1958.0,66.0,Cultural Palestino-Quilmaná-Lima Región
Cultural Tarapacá,Végueta,Eleodoro Medina García,Copa Perú,Lima Región,1945.0,79.0,Cultural Tarapacá-Végueta-Lima Región
Defensor Amay,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1963.0,61.0,Defensor Amay-Huacho-Lima Región
Defensor Campo Alegre,Hualmay,Municipal de Hualmay,Copa Perú,Lima Región,1975.0,49.0,Defensor Campo Alegre-Hualmay-Lima Región
Defensor Cantagallo,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1968.0,56.0,Defensor Cantagallo-Imperial-Lima Región
Defensor Carhua,Canta,Municipal de Canta,Copa Perú,Lima Región,1992.0,32.0,Defensor Carhua-Canta-Lima Región
Defensor Cerro Alegre,Imperial,Óscar Ramos Cabieses,Copa Perú,Lima Región,1956.0,68.0,Defensor Cerro Alegre-Imperial-Lima Región
Defensor Chanana,Pativilca,Simón Rodríguez,Copa Perú,Lima Región,1971.0,53.0,Defensor Chanana-Pativilca-Lima Región
Defensor Gráfico,Supe,Edgardo Reyes Bolívar,Copa Perú,Lima Región,1954.0,70.0,Defensor Gráfico-Supe-Lima Región
Defensor Huampará,Huampará,Municipal de Yauyos,Copa Perú,Lima Región,1966.0,58.0,Defensor Huampará-Huampará-Lima Región
Defensor Laure Sur,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1961.0,63.0,Defensor Laure Sur-Chancay-Lima Región
Defensor Los Tilos,Chancay,Rómulo Shaw Cisneros,Copa Perú,Lima Región,1989.0,35.0,Defensor Los Tilos-Chancay-Lima Región
Defensor Miramar,Huacho,Segundo Aranda Torres,Copa Perú,Lima Región,1953.0,71.0,Defensor Miramar-Huacho-Lima Región
Defensor Quilmaná,Quilmaná,Municipal de Quilmaná,Copa Perú,Lima Región,1963.0,61.0,Defensor Quilmaná-Quilmaná-Lima Región
Defensor Saenz Peña,Barranca,Municipal de Barranca,Copa Perú,Lima Región,1964.0,60.0,Defensor Saenz Peña-Barranca-Lima Región
